"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT04","WT06","WT08"
"US1LABS0019","BOSSIER CITY 4.0 S, LA US","32.460843","-93.656338","49.1","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LABS0019","BOSSIER CITY 4.0 S, LA US","32.460843","-93.656338","49.1","2021-02-14",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LABS0019","BOSSIER CITY 4.0 S, LA US","32.460843","-93.656338","49.1","2021-02-15",,,"0.25","2.5",,,,,,,,,,,,,,,
"US1LABS0019","BOSSIER CITY 4.0 S, LA US","32.460843","-93.656338","49.1","2021-02-16",,,"0.62","1.5",,,,,,,,,,,,,,,
"US1LABS0017","BOSSIER CITY 2.4 WNW, LA US","32.53295","-93.70074","50.0","2021-02-15",,,"0.65",,,,,,,,,,,,,,,,
"USC00168448","SHREVEPORT WEATHER FORECAST OFFICE, LA US","32.4513","-93.8416","83.5","2021-02-13",,,"0.00","0.0","0.0",,"38","27","31",,,,,,,,,,
"USC00168448","SHREVEPORT WEATHER FORECAST OFFICE, LA US","32.4513","-93.8416","83.5","2021-02-14",,,"0.21","0.3","0.0",,"31","19","19",,,,,,,,,,
"USC00168448","SHREVEPORT WEATHER FORECAST OFFICE, LA US","32.4513","-93.8416","83.5","2021-02-15",,,"0.54","3.5","3.0",,"20","6","6",,,,,,,,,,
"US1LABS0025","BOSSIER CITY 6.4 NW, LA US","32.594219","-93.726868","53.3","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0032","KEITHVILLE 2.0 NE, LA US","32.3531","-93.8053","49.1","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0032","KEITHVILLE 2.0 NE, LA US","32.3531","-93.8053","49.1","2021-02-14",,,"0.01",,,,,,,,,,,,,,,,
"US1LABS0001","BOSSIER CITY 6.7 NNW, LA US","32.6061057024373","-93.7129282951355","52.4","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LABS0001","BOSSIER CITY 6.7 NNW, LA US","32.6061057024373","-93.7129282951355","52.4","2021-02-14",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LABS0001","BOSSIER CITY 6.7 NNW, LA US","32.6061057024373","-93.7129282951355","52.4","2021-02-15",,,"0.58","6.0","6.0",,,,,,,"0.4","0.4",,,,,,
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","32.4472","-93.8244","77.4","2021-02-13","11.41",,"0.00","0.0","0.0","33","42","30",,"   20","   10",,,"19.9","25.1",,,,
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","32.4472","-93.8244","77.4","2021-02-14","12.30",,"0.20","1.0","1.0","30","33","22",,"   20","  360",,,"19.9","25.1","    1","    1","    1","    1"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","32.4472","-93.8244","77.4","2021-02-15",,,"0.42",,"5.0","20","22","6",,,,,,,,,,,
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.54278","-93.745","54.6","2021-02-13","10.51"," 1733","0.00",,,,"41","29",,"   10","  340",,,"17.0","23.9",,,,
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.54278","-93.745","54.6","2021-02-14","11.63"," 1835","0.13",,,,"32","21",,"  360","   10",,,"16.1","21.9",,,,
